# Barcelona;Belgrade;Berlin;Brussels;Bucharest;Budapest;Copenhagen;Dublin;Hamburg;Istanbul;Kyiv;London;Madrid;Milan;Moscow;Munich;Paris;Prague;Rome;Saint Petersburg;Sofia;Stockholm;Vienna;Warsaw
4.138329999999999842e+01;2.183399999999999785e+00
4.481860000000000355e+01;2.046799999999999997e+01
5.252179999999999893e+01;1.340150000000000041e+01
5.083330000000000126e+01;4.333300000000000374e+00
4.443339999999999890e+01;2.609990000000000165e+01
4.750000000000000000e+01;1.908330000000000126e+01
5.567860000000000298e+01;1.256349999999999945e+01
5.333310000000000173e+01;-6.248899999999999899e+00
5.354999999999999716e+01;1.000000000000000000e+01
4.110499999999999687e+01;2.901000000000000156e+01
5.043339999999999890e+01;3.051660000000000039e+01
5.150000000000000000e+01;-1.166999999999999982e-01
4.039999999999999858e+01;-3.683399999999999785e+00
4.546999999999999886e+01;9.205000000000000071e+00
5.575220000000000198e+01;3.761549999999999727e+01
4.812989999999999924e+01;1.157499999999999929e+01
4.886670000000000158e+01;2.333299999999999930e+00
5.008330000000000126e+01;1.446599999999999930e+01
4.189600000000000080e+01;1.248329999999999984e+01
5.993900000000000006e+01;3.031599999999999895e+01
4.268330000000000268e+01;2.331670000000000087e+01
5.935079999999999956e+01;1.809730000000000061e+01
4.820000000000000284e+01;1.636659999999999826e+01
5.225000000000000000e+01;2.100000000000000000e+01
